Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
abysmal.university,available,52,4%,7,"Arts,Entertainment,Media",,,
sixtyfour.university,available,52,3%,10,Mathematics,,,
lxxi.university,available,52,1%,4,Mathematics,,,
abusive.university,available,52,3%,7,"Healthcare,Law",,,
decumbent.university,available,52,1%,9,"Healthcare,Medicine,Science",,,
chagrined.university,available,52,1%,9,Humanities,,,
lxxxvii.university,available,52,1%,7,Mathematics,,,
abominable.university,available,52,2%,10,"Entertainment,Humanities",,,
xci.university,available,52,4%,3,Mathematics,,,
odious.university,available,52,2%,6,"Entertainment,Humanities",,,
lxxxi.university,available,52,1%,5,Mathematics,,,
eightytwo.university,available,52,4%,10,Mathematics,,,
lxxii.university,available,52,1%,5,Mathematics,,,
lxxv.university,available,52,1%,4,Mathematics,,,
sixtyfive.university,available,52,3%,10,Mathematics,,,
lxiii.university,available,52,2%,5,Mathematics,,,
detestable.university,available,52,1%,10,Humanities,,,
ixl.university,available,52,9%,3,Mathematics,,,
lxxxii.university,available,52,1%,6,Mathematics,,,
lxxxiv.university,available,52,1%,6,Mathematics,,,
repulsive.university,available,52,1%,9,Humanities,,,
lxxxiii.university,available,52,1%,7,Mathematics,,,
lxiv.university,available,52,3%,4,Mathematics,,,
eightyone.university,available,52,3%,10,Mathematics,,,
aboulic.university,available,52,1%,7,Medicine,,,
sixtytwo.university,available,52,3%,9,Mathematics,,,
lxxiii.university,available,52,1%,6,Mathematics,,,
ixc.university,available,52,5%,3,Mathematics,,,
littlejoe.university,available,52,2%,10,"Entertainment,Media",,,
uphill.university,available,52,7%,6,"Sports,Transportation,Travel",,,
lxxiv.university,available,52,1%,5,Mathematics,,,
lxvii.university,available,52,1%,5,Mathematics,,,
lxii.university,available,52,1%,4,Mathematics,,,
lxxvi.university,available,52,1%,5,Mathematics,,,
lxi.university,available,52,5%,3,Mathematics,,,
ablated.university,available,52,1%,7,Science,,,
lxxxv.university,available,52,1%,5,Mathematics,,,
sixtysix.university,available,52,4%,9,Mathematics,,,
xcviii.university,available,52,1%,6,Mathematics,,,
xcvii.university,available,52,1%,5,Mathematics,,,
abstruse.university,available,52,5%,8,"Humanities,Mathematics,Science",,,
lxviii.university,available,52,1%,6,Mathematics,,,
tierce.university,available,52,3%,6,General,,,
adenoidal.university,available,52,1%,9,"Health and Fitness,Medicine,Science",,,
lxv.university,available,52,5%,3,Mathematics,,,
xcii.university,available,52,2%,4,Mathematics,,,
xcv.university,available,52,7%,3,Mathematics,,,
repugnant.university,available,52,1%,9,Humanities,,,
lxvi.university,available,52,3%,4,Mathematics,,,
ninetyone.university,available,52,5%,10,Mathematics,,,
lxxvii.university,available,52,2%,6,Mathematics,,,
ninetytwo.university,available,52,4%,10,Mathematics,,,
xcvi.university,available,52,2%,4,Mathematics,,,
xciii.university,available,52,1%,5,Mathematics,,,
xciv.university,available,52,2%,4,Mathematics,,,
lxxxvi.university,available,52,1%,6,Mathematics,,,
ninetysix.university,available,52,4%,10,Mathematics,,,
triplet.university,available,50,8%,7,Science,,,
needlelike.university,available,50,0%,10,"Engineering,Medicine,Science",,,
acerbic.university,available,50,2%,7,"Arts,Humanities,Media",,,
abducting.university,available,50,0%,9,Medicine,,,
aborticide.university,available,50,0%,10,Medicine,,,
abactinal.university,available,50,0%,9,Science,,,
spinous.university,available,50,1%,7,"Agriculture,Science",,,
gillless.university,available,50,0%,9,Science,,,
acerose.university,available,50,1%,7,Science,,,
quint.university,available,50,13%,5,"Arts,Entertainment",,,
acapnotic.university,available,50,0%,9,"Healthcare,Medicine,Science",,,
cinque.university,available,50,7%,6,Mathematics,,,
ogdoad.university,available,50,1%,6,Mathematics,,,
adhominem.university,available,50,2%,10,"Humanities,Law,Politics",,,
acapnic.university,available,50,0%,7,"Healthcare,Medicine,Science",,,
abomasal.university,available,50,0%,8,Agriculture,,,
acetous.university,available,50,1%,7,Science,,,
abranchial.university,available,50,0%,10,Science,,,
aculeated.university,available,50,0%,9,"Engineering,Medicine,Science",,,
adactylous.university,available,50,0%,10,Science,,,
acaudal.university,available,50,1%,7,"Agriculture,Science",,,
vinegary.university,available,50,1%,8,Food and Beverage,,,
scummy.university,available,50,1%,6,Humanities,,,
abbatial.university,available,50,0%,8,Religion,,,
acerb.university,available,50,2%,5,Science,,,
broached.university,available,50,0%,8,Food and Beverage,,,
acetose.university,available,50,1%,7,Science,,,
acellular.university,available,50,1%,9,Science,,,
trine.university,available,50,11%,5,"General,Religion",,,
abdicable.university,available,50,0%,9,Law,,,
acquitted.university,available,50,1%,9,Law,,,
apriori.university,available,48,13%,8,Mathematics,,,
execrable.university,available,48,0%,9,"Entertainment,Humanities",,,
abyssal.university,available,48,12%,7,"Arts,Entertainment,Media",,,
abstracted.university,available,48,5%,10,"Arts,Humanities,Science",,,
ilxx.university,available,48,1%,4,Mathematics,,,
lxxxviii.university,available,48,1%,8,Mathematics,,,
notguilty.university,available,48,5%,10,Law,,,
ilxxx.university,available,48,1%,5,Mathematics,,,
acicular.university,available,46,2%,8,Science,,,
quaternary.university,available,46,3%,10,Mathematics,,,
stemless.university,available,46,2%,8,"Agriculture,Science",,,
acetylenic.university,available,46,1%,10,Science,,,
cotyloid.university,available,46,1%,8,Science,,,
theabsurd.university,available,46,1%,10,"Arts,Entertainment,Media",,,
achenial.university,available,46,1%,8,Science,,,
vinegarish.university,available,46,1%,10,Food and Beverage,,,
acetonic.university,available,46,1%,8,Science,,,
acetylic.university,available,46,1%,8,Science,,,
acephalous.university,available,46,1%,10,Science,,,
achromic.university,available,46,2%,8,Science,,,
acanthotic.university,available,46,0%,10,"Agriculture,Science",,,
stripling.university,available,46,2%,9,"Education,Entertainment,Healthcare",,,
acaudate.university,available,46,1%,8,"Agriculture,Science",,,
acarpelous.university,available,46,0%,10,"Agriculture,Science",,,
acanthous.university,available,46,0%,9,"Agriculture,Science",,,
acapnial.university,available,46,0%,8,"Healthcare,Medicine,Science",,,
acetabular.university,available,46,1%,10,Science,,,
acheronian.university,available,46,1%,10,Humanities,,,
acanthoid.university,available,46,1%,9,"Agriculture,Science",,,
acarpous.university,available,46,0%,8,"Agriculture,Science",,,
achromous.university,available,46,1%,9,Science,,,
accusatory.university,available,44,1%,10,Law,,,
cotyloidal.university,available,44,1%,10,Science,,,
acherontic.university,available,44,1%,10,Humanities,,,
abscessed.university,available,41,0%,9,Healthcare,,,
phoebe.university,available,41,14%,6,Science,,,
scurrilous.university,available,40,1%,10,"Entertainment,Media,Politics",,,
accusive.university,available,40,1%,8,Law,,,
accurst.university,available,40,1%,7,Religion,,,
